,,,NYS Mesonet,,,,
Stid,Number Name,,Lat [deg],Lon [deg],Elev [m],Nearest City,WFO
ONTA,37,Ontario,43.2594,-77.3733,99.853,Ontario,BUF
OPPE,117,Oppenheim,43.0626,-74.6654,359.999,Oppenheim,ALY
OSCE,84,Osceola,43.4992,-75.7118,333.177,Osceola,BUF
OSWE,16,Oswego,43.4432,-76.5532,93.726,Oswego,BUF
OTIS,100,Otisville,41.4825,-74.5037,237.165,Otisville,OKX
OWEG,52,Owego,42.0257,-76.2554,447.873,Owego,BGM
PENN,77,Penn Yan,42.6558,-76.9875,250.668,Penn Yan,BGM
PHIL,89,Philadelphia,44.1935,-75.7159,130.912,Philadelphia,BUF
PISE,114,Piseco,43.4647,-74.5043,535.991,Piseco,ALY
POTS,22,Potsdam,44.6569,-74.9744,128.687,Potsdam,BTV
QUEE,34,Queens,40.7343,-73.8159,54.559,Queens,OKX
RAND,125,Randolph,42.1493,-78.9010,448.97,Randolph,BUF
RAQU,45,Raquette Lake,43.8228,-74.6251,539.74,Raquette Lake,ALY
REDF,120,Redfield,43.6222,-75.8777,380.39,Redfield,BUF
REDH,25,Red Hook,42.0017,-73.8839,64.801,Red Hook,ALY
ROXB,62,Roxbury,42.3296,-74.4675,573.055,Roxbury,BGM
RUSH,87,Rush,43.001,-77.6374,180.807,Rush,BUF
SARA,121,Saranac,44.7076,-73.6712,313.731,Saranac,BTV
SBRI,75,South Bristol,42.7522,-77.3593,349.64,South Bristol,BUF
SCHA,12,Schaghticoke,42.897,-73.6141,98.45,Schaghticoke,ALY
SCHO,126,Schodack,42.5063,-73.6858,104.882,Schodack,ALY
SCHU,9,Schuylerville,43.117,-73.5783,31.446,Schuylerville,ALY
,,,Page 2,,,,
,,,NYS Mesonet,,,,
SCIP,81,Scipio Center,42.7562,-76.5340,395.234,Scipio Center,BGM
SHER,54,Sherburne,42.6403,-75.4837,352.623,Sherburne,BGM
SOME,103,Somers,41.3104,-73.7671,184.892,Shenorock,OKX
SOUT,35,Southold,41.0401,-72.4659,8.931,Southold,OKX
SPRA,8,Sprakers,42.8743,-74.5086,199.857,Sprakers,ALY
SPRI,102,Springfield,42.8432,-74.8896,450.342,Springfield,BGM
STAT,20,Staten Island,40.604,-74.1485,33.1,Staten Island,OKX
STEP,63,Stephentown,42.5262,-73.3591,289.77,Stephentown,ALY
STON,2,Stony Brook,40.9191,-73.1317,43.922,Stony Brook,OKX
SUFF,28,Suffern,41.1304,-74.0899,178.095,Suffern,OKX
TANN,108,Tannersville,42.1707,-74.1134,711.373,Tannersville,ALY
TICO,15,Ticonderoga,43.8747,-73.4188,83.637,Ticonderoga,BTV
TULL,83,Tully,42.7946,-76.1156,378.379,Tully,BGM
TUPP,124,Tupper Lake,44.2213,-74.4383,502.829,Tupper Lake,BTV
TYRO,39,Tyrone,42.4061,-77.0539,366.857,Tyrone,BGM
VOOR,3,Voorheesville,42.6524,-73.9756,115.062,Voorheesville,ALY
WALL,36,Wallkill,41.6341,-74.1537,107.777,Wallkill,ALY
WALT,95,Walton,42.2395,-75.1788,559.796,Walton,BGM
WANT,42,Wantagh,40.6551,-73.5062,8.534,Wantagh,OKX
WARS,72,Warsaw,42.7799,-78.2089,540.715,Warsaw,BUF
WARW,92,Warwick,41.2404,-74.3906,164.287,Warwick,OKX
WATE,6,Waterloo,42.8797,-76.8126,145.755,Waterloo,BGM
WBOU,94,Woodbourne,41.7451,-74.5883,432.999,Woodbourne,BGM
WELL,115,Wellesley Island,44.3078,-76.0086,86.777,Wellesley Island BTV,
WEST,46,Westmoreland,43.1065,-75.4615,199.614,Westmoreland,BGM
WFMB,14,Whiteface Mtn Base,44.3932,-73.8588,614.599,Wilmington,BTV
WGAT,123,Woodgate,43.5324,-75.1586,442.966,Woodgate,BGM
WHIT,10,Whitehall,43.4851,-73.4231,36.564,Whitehall,ALY
WOLC,79,Wolcott,43.2287,-76.8426,121.219,Wolcott,BUF
YORK,99,York,42.855,-77.8478,177.942,York,BUF
,,,Page 3,,,,
